Site,Time Period,Campostoma pullum,Cyprinella camura,Cyprinella lutrensis,Cyprinella venusta,Cyprinella whipplei,Cyprinus carpio,Hybognathus hayi,Hybognathus nuchalis,Hybopsis winchelli,Luxilus chrysocephalus,Lythrurus fumeus,Lythrurus roseipinnis,Lythrurus umbratilis,Nocomis leptocephalus,Notemigonus crysoleucas,Notropis amplamala,Notropis atherinoides,Notropis buchanani,Notropis longirostris,Notropis texanus,Notropis volucellus,Opsopoeodus emiliae,Pimephales notatus,Pimephales vigilax,Semotilus atromaculatus
1,1974-1975,0,1,108,462,0,0,0,3,0,0,0,0,0,0,0,0,3,0,5,0,7,0,0,9,0
2,1974-1975,0,69,12,276,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,5,0,0,11,0
3,1974-1975,0,11,502,0,0,0,0,0,0,8,0,0,95,0,0,0,0,0,1,0,0,0,31,0,0
4,1974-1975,2,357,244,860,0,0,0,3,0,1,0,4,1,0,0,7,277,0,226,0,79,0,66,154,0
5,1974-1975,1,291,63,327,0,3,0,18,0,6,0,31,1,18,0,9,200,0,96,0,56,0,52,59,0
6,1974-1975,0,207,316,515,0,3,0,22,1,35,0,180,1,0,0,27,309,0,224,1,130,0,51,38,0
7,1974-1975,0,69,0,483,0,0,0,0,0,11,0,2,7,10,0,70,0,0,48,0,0,0,108,3,0
8,1974-1975,7,6556,1449,6162,0,0,11,340,29,170,0,117,3,162,8,151,1423,10,2326,33,519,0,473,632,0
9,1974-1975,0,25,0,62,0,0,0,0,0,4,0,3,8,3,0,2,0,0,3,0,0,0,14,9,0
10,1974-1975,0,121,27,527,0,0,0,0,0,11,0,0,0,1,0,1,0,0,29,0,7,0,1,5,0
11,1974-1975,8,98,2,8,0,0,0,0,0,80,0,0,0,19,1,4,0,0,73,0,0,0,1,16,1
12,1974-1975,0,246,17,462,0,0,0,0,21,45,0,39,0,17,7,7,0,0,9,0,9,2,39,79,0
1,1985-1989,0,15,134,390,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,34,0,12,71,0
2,1985-1989,0,0,31,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
3,1985-1989,0,7,43,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,12,8,0
4,1985-1989,0,197,37,575,0,0,0,0,0,8,0,0,0,0,0,0,0,0,9,0,6,0,2,86,0
5,1985-1989,0,30,15,167,0,0,0,0,0,0,0,0,0,0,0,3,0,0,30,0,0,0,3,21,0
6,1985-1989,0,6,2,24,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,9,20,0
7,1985-1989,0,12,1,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
8,1985-1989,0,80,10,231,0,0,0,0,0,6,0,0,0,0,0,0,0,0,20,0,5,0,1,13,0
9,1985-1989,1,213,3,105,0,0,0,1,0,32,0,3,1,3,0,0,0,0,59,0,2,0,14,7,0
10,1985-1989,11,86,7,382,0,0,0,0,0,132,32,0,2,2,0,1,0,0,4,0,2,0,0,20,0
11,1985-1989,0,10,0,4,0,0,0,0,0,16,0,0,0,3,1,0,0,0,46,0,0,0,4,0,0
12,1985-1989,0,73,1,131,0,0,0,0,2,4,0,0,1,1,0,0,0,0,5,0,0,0,22,116,0
1,2019-2020,0,2,13,548,0,0,0,29,0,0,0,0,0,0,0,0,246,2,0,0,203,0,0,13,0
2,2019-2020,0,0,5,371,0,0,0,4,0,0,0,0,0,0,0,0,11,0,1,0,141,0,0,60,0
3,2019-2020,0,13,0,104,0,0,0,20,0,0,0,0,0,0,0,0,13,0,2,0,413,0,0,19,0
4,2019-2020,0,79,2,850,0,0,0,167,0,0,0,0,0,0,0,0,170,0,79,0,69,0,3,112,0
5,2019-2020,0,35,1,493,0,0,0,4,1,0,0,3,0,0,0,0,28,0,6,0,54,0,12,10,0
6,2019-2020,0,36,0,136,2,0,0,12,0,0,0,0,0,2,0,0,0,0,6,0,11,0,3,7,0
7,2019-2020,0,60,0,189,0,0,0,23,0,0,0,0,0,1,0,0,0,0,3,0,17,0,1,4,0
8,2019-2020,0,32,2,216,0,0,0,57,0,0,0,0,0,0,0,0,16,0,13,0,16,0,0,3,0
9,2019-2020,0,32,0,134,0,0,0,1,2,7,6,0,0,0,0,0,0,0,32,0,5,0,2,0,0
10,2019-2020,0,64,6,357,0,0,0,10,0,0,0,0,0,0,0,0,5,0,18,0,74,0,0,3,0
11,2019-2020,0,30,0,44,0,0,0,13,0,56,0,2,0,2,0,0,0,0,19,0,0,0,1,0,0
12,2019-2020,0,75,0,283,0,0,0,54,1,0,0,2,0,0,0,0,0,0,59,0,0,0,18,16,0
