Nest,Permethrin,Number,Heart Mass (g),Heart Length (mm),Heart Width (mm),Heart Depth (mm),Mass (g),Right Tarsus (mm),Beak (mm),Toe (mm),Eye Diameter (mm),Head Diameter (mm),Heart rates
.2 g cotton,Control,1,0.0334,5.29,3.9,3.04,3.9571,12.54,5.137,8.556756757,4.668,15.9,264
.2 g cotton,Control,2,0.0355,6.23,3.9,3.63,4.3403,13.07,6.37,8.966975309,4.587,15.771,338
.2 g cotton,Control,3,0.0206,4.83,3.21,3.16,3.2672,10.78,5.344,8.401623377,4.085,17.166,
.2 g cotton,Control,4,0.0337,6.53,4.58,3.32,4.8308,13.25,4.655,9.539726027,3.855,17.646,285
.2 g cotton,Control,5,0.0251,5.29,3.74,2.49,3.3593,11.59,4.938,8.612118438,4.122,15.075,
.2 g cotton,Control,6,0.0312,5.66,3.69,3.08,4.5668,13.51,6.669,10.76106603,4.267,15.776,209
.2 g cotton,Control,7,0.0295,5.01,3.76,3.4,4.0908,12.66,4.99,7.284931507,3.589,17.013,191
.2 g cotton,Control,8,0.0278,4.81,3.68,3.48,4.741,12.31,6.176,10.87980986,4.324,18.125,170
.2 g cotton,Control,9,0.034,6.13,3.59,3.53,4.4316,12.59,4.842,10.05808183,3.855,17.068,285
.8 g cotton,Control,1,0.034,5.48,4.05,3.06,4.9509,13.56,4.85,10.26881941,4.199,16.675,285
.8 g cotton,Control,2,0.0321,5.13,3.96,3.03,4.6973,13.53,4.297,7.208006663,3.901,16.473,273
.8 g cotton,Control,3,0.0266,4.74,3.43,3.19,4.5301,13.38,4.691,10.40488506,3.484,16.201,108
.8 g cotton,Control,4,0.0368,6.02,4.36,2.84,4.6518,14.03,5.249,11.83185484,3.943,16.721,301
.8 g cotton,Control,5,0.028,4.16,4.36,2.84,3.9666,13.25,5.371,8.915609278,3.442,15.971,211
.8 g cotton,Control,6,0.0315,4.98,3.56,3.14,5.1671,13.17,4.789,10.87499594,4.028,16.973,272
.8 g cotton,Control,7,0.0346,5.35,4.01,2.99,4.78,13.17,5.313,10.75110201,3.754,16.36,295
.8 g cotton,Control,8,0.0254,5.48,3.94,3.18,4.7122,12.58,5.77,6.94027913,5.168,15.769,62
.8 g cotton,Control,9,0.029,5.33,3.4,3.23,3.8493,12.09,5.08,9.008802636,4.149,15.604,239
.8 g cotton,Control,10,0.0309,5.25,3.59,2.98,4.4796,13.26,5.763,11.8450893,5.549,15.723,250
.8 g cotton,Control,11,0.0271,4.92,3.61,2.61,4.5344,13.05,5.468,9.229586345,4.418,17.824,211
.2 g cotton,Permethrin,1,0.0279,4.69,3.87,3.05,2.1028,9.17,4.334,6.520775938,3.644,13.602,171
.2 g cotton,Permethrin,2,0.0244,4.63,3.87,2.75,2.5419,9.6,4.587,6.397273612,3.501,13.661,136
.2 g cotton,Permethrin,3,0.0283,5.1,3.73,2.75,2.2921,8.18,5.218,4.868770877,4.726,13.588,174
.2 g cotton,Permethrin,4,0.0238,5.21,3.23,3.18,2.2319,9.9,4.36,7.860916993,4.249,12.248,74
.2 g cotton,Permethrin,5,0.0251,4.88,3.5,2.45,2.333,8.9,4.9,6.885382506,4.937,14.664,170
.2 g cotton,Permethrin,6,0.0336,5.7,3.86,2.6,2.4509,9.35,4.553,6.960412803,4.781,13.692,223
.2 g cotton,Permethrin,7,0.0304,5.46,3.91,2.38,2.0369,8.08,5.165,5.039367765,5.174,12.87,180
.2 g cotton,Permethrin,8,0.0334,4.91,3.97,3.3,2.3109,9.72,3.955,6.742984982,3.929,13.04,218
.2 g cotton,Permethrin,9,0.0196,4.68,2.97,2.65,1.9621,8.61,5.256,6.190003204,3.883,12.89,
.2 g cotton,Permethrin,10,0.0343,4.9,3.82,2.8,2.1368,8.51,6.709,5.523285568,5.213,15.348,235
.2 g cotton,Permethrin,11,0.0313,5.49,3.74,3.08,2.3215,8.8,6.317,6.014261909,5.147,13.924,209
.2 g cotton,Permethrin,12,0.0307,5.51,4.07,3.68,2.5421,9.57,5.192,6.191981217,5.517,13.469,196
.8 g cotton,Permethrin,1,0.0285,4.65,3.56,2.61,2.9619,9.86,5.25,8.130366321,4.775,13.748,216
.8 g cotton,Permethrin,2,0.0387,4.63,3.85,2.76,3.5588,11.45,5.844,8.109109713,5.669,14.802,239
.8 g cotton,Permethrin,3,0.0264,5.43,3.69,2.81,2.8505,10.65,5.352,7.450777202,5.29,13.506,180
.8 g cotton,Permethrin,4,0.0298,5.11,3.27,2.7,2.1285,9.74,5.531,5.450025809,4.932,13.172,229
.8 g cotton,Permethrin,5,0.0361,5.69,3.91,2.79,2.1811,9.54,7.506,5.884630465,5.294,12.832,233
.8 g cotton,Permethrin,6,0.0237,5.18,3.49,2.19,2.3038,9.46,5.674,5.928892063,5.483,12.831,173
.8 g cotton,Permethrin,7,0.0284,5.48,3.33,2.77,2.4738,10.06,6.326,9.98185118,5.146,13.073,206
.8 g cotton,Permethrin,8,0.028,4.96,3.63,3.11,2.5443,8.65,6.272,7.47624652,5.581,13.839,196
.8 g cotton,Permethrin,9,0.0391,5.78,4.13,3.1,2.9335,10.54,5.39,7.418474315,6.796,14.631,244
.8 g cotton,Permethrin,10,0.034,5.56,3.82,3.26,2.9933,10.36,6.653,8.08242008,6.846,13.546,232
.8 g cotton,Permethrin,11,0.0278,5.26,3.76,2.54,2.5606,10.33,5.788,9.067857143,5.199,14.847,186
